   Compiling btc5m-bot v0.1.0 (/Users/azharuddinarrosis/Developments/poly/btc5m-v02/bot)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 3.52s
     Running `target/debug/btc5m-bot`
[INIT] No state.json found, starting fresh
BTC 5m Forward Bot API running on http://0.0.0.0:8082
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-248s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-548s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-848s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-248s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-548s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-848s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-247s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-547s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-847s | ACTIVE
[REALTIME] 1776334800 | UP: 63.0c | DOWN: 36.0c | T-247s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-547s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-847s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-246s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-546s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-846s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-246s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-546s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-846s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-245s | ACTIVE
[REALTIME] 1776335100 | UP: 51.0c | DOWN: 48.0c | T-545s | ACTIVE
[REALTIME] 1776335400 | UP: 50.0c | DOWN: 49.0c | T-845s | ACTIVE
[REALTIME] 1776334800 | UP: 62.0c | DOWN: 37.0c | T-244s | ACTIVE
